event_type,region,country,state,city,date_type,date,name,description,optional,created_at,updated_at,revised_at,published_at
holiday,national,BR,,,fixed,01-01,Confraternização Universal,,0,,,,
holiday,national,BR,,,fixed,04-21,Tiradentes,,0,,,,
holiday,national,BR,,,fixed,05-21,Dia do Trabalhador,,0,,,,
holiday,national,BR,,,fixed,09-07,Dia da Pátria,,0,,,,
holiday,national,BR,,,fixed,10-12,Nossa Senhora Aparecida,,0,,,,
holiday,national,BR,,,fixed,11-02,Finados,,0,,,,
holiday,national,BR,,,fixed,11-15,Proclamação da Repíblica,,0,,,,
holiday,national,BR,,,fixed,12-25,Natal,,0,,,,
holiday,national,BR,,,easter_sunday,-47 days,Carnaval,,0,,,,
holiday,national,BR,,,easter_sunday,-2 days,Sexta-Feira Santa,,0,,,,
holiday,national,BR,,,fixed,60 days,Corpus Christi,,0,,,,
holiday,state,BR,AC,,fixed,01-23,Dia do evangélico,,0,,,,
holiday,state,BR,AC,,fixed,03-08,Alusivo ao dia internacional da mulher,,0,,,,
holiday,state,BR,AC,,fixed,06-15,Aniversário do Estado,,0,,,,
holiday,state,BR,AC,,fixed,09-05,Feriado Estadual,,0,,,,
holiday,state,BR,AC,,fixed,11-17,Assinatura do tratado de Petrópolis,,0,,,,
holiday,state,BR,AL,,fixed,06-24,São João,,0,,,,
holiday,state,BR,AL,,fixed,06-29,São Pedro,,0,,,,
holiday,state,BR,AL,,fixed,09-16,Emancipação Política,,0,,,,
holiday,state,BR,AL,,fixed,11-20,Dia da Conciência Negra,,0,,,,
holiday,state,BR,AP,,fixed,03-19,São José,,0,,,,
holiday,state,BR,AP,,fixed,09-13,Criação do Território Federal,,0,,,,
holiday,state,BR,AM,,fixed,09-05,Feriado Estadual,,0,,,,
holiday,state,BR,AM,,fixed,11-20,Dia da Conciência Negra,,0,,,,
holiday,state,BR,BA,,fixed,07-02,Independência da Bahia,,0,,,,
holiday,state,BR,CE,,fixed,03-25,Data da Abolição da Escravidão no Ceará,,0,,,,
holiday,state,BR,DF,,fixed,04-21,Fundação de Brasília,,0,,,,
holiday,state,BR,DF,,fixed,11-30,Dia do Evangélico,,0,,,,
holiday,state,BR,MA,,fixed,07-28,Adesão do Maranhão à Independência do Brasil,,0,,,,
holiday,state,BR,MT,,fixed,11-20,Dia da Conciência Negra,,0,,,,
holiday,state,BR,MS,,fixed,10-11,Criação do Estado,,0,,,,
holiday,state,BR,MG,,fixed,04-21,Data Magna do Estado,,0,,,,
holiday,state,BR,PA,,fixed,08-15,Adesão do Grão-Pará à Independência do Brasil,,0,,,,
holiday,state,BR,PB,,fixed,07-26,Homenagem à Memória do Ex-Presidente João Pessoa,,0,,,,
holiday,state,BR,PB,,fixed,08-05,Fundação do Estado,,0,,,,
holiday,state,BR,PR,,fixed,12-19,Emancipação Política,,0,,,,
holiday,state,BR,PE,,fixed,03-06,Revolução Pernambucana,,0,,,,
holiday,state,BR,PE,,fixed,06-24,São João,,0,,,,
holiday,state,BR,PI,,fixed,10-19,Dia do Piauí,,0,,,,
holiday,state,BR,RJ,,fixed,04-23,São Jorge,,0,,,,
holiday,state,BR,RJ,,fixed,11-20,Dia da Conciência Negra,,0,,,,
holiday,state,BR,RN,,fixed,10-03,Mártires de Cunhaú e Uruaçu,,0,,,,
holiday,state,BR,RS,,fixed,09-20,Proclamação da República Rio-Grandense,,0,,,,
holiday,state,BR,RO,,fixed,01-04,Criação do Estado,,0,,,,
holiday,state,BR,RO,,fixed,06-18,Dia do Evangélico,,0,,,,
holiday,state,BR,RR,,fixed,10-05,Criação do Estado,,0,,,,
holiday,state,BR,SC,,fixed,07-09,Revolução Constitucionalista,,0,,,,
holiday,state,BR,SC,,fixed,11-25,Santa Catarina de Alexandria,,0,,,,
holiday,state,BR,SP,,fixed,07-09,Revolução Constitucionalista,,0,,,,
holiday,state,BR,SE,,fixed,07-08,Emancipação Política,,0,,,,
holiday,state,BR,TO,,fixed,03-18,Autonomia do Estado,,0,,,,
holiday,state,BR,TO,,fixed,09-08,Padroeira do Estado,,0,,,,
holiday,state,BR,TO,,fixed,10-05,Criação do Estado,,0,,,,
holiday,city,BR,SP,3550308,easter_sunday,-2 days,Sexta-Feira Santa,,0,,,,
commemorative_date,national,BR,,,variable_year_string,%s-05 second sunday,Dia das Mães,,,,,,
